Rank,Deck Name,Champion List,Average Place,Pick Rate,Win Rate
S,Executioner Rengar,"['Rengar', 'Varus', 'Graves', 'Vex', 'Urgot', 'Neeko', 'Ekko', 'Alistar']",3.84,0.47,20.0%
S,Nitro Zeri,"['Zeri', 'Shyvana', 'Sejuani', 'Elise', 'T-43X', 'Galio', 'Jhin', 'Kindred', 'Nidalee']",4.05,0.21,14.4%
S,Strategist Ziggs,"['Veigar', 'Ziggs', 'Neeko', 'Kobuko', 'Brand', 'Yuumi', 'Ekko', 'LeBlanc', 'Poppy']",4.16,0.14,14.0%
S,Divinicorp Samira,"['Samira', 'Aurora', 'Renekton', 'Garen', 'Kobuko', 'Urgot', 'Viego', 'Annie', ""Cho'Gath""]",4.17,0.07,12.6%
S,Syndicate Twisted Fate,"['Twisted Fate', 'Miss Fortune', 'Darius', 'Braum', 'Gragas', 'Skarner', ""Kog'Maw"", 'Shaco']",4.23,0.42,9.3%
